
5			0	0	
			1	2	
			703.6000	703.6000	
			184.2000	264.4000	
1	19.2925	-6.54297	0.0000	0.0000	1	1
2	19.3425	-6.54297	22.0000	0.0000	1	2
3	19.3925	-6.54297	9.0000	0.0000	1	3
4	19.4425	-6.54297	0.0000	0.0000	1	4
5	19.4925	-6.54297	0.0000	0.0000	1	5
6	19.5425	-6.54297	2.0000	0.0000	1	6
7	19.5925	-6.54297	5.0000	0.0000	1	7
8	19.6425	-6.54297	2.0000	0.0000	1	8
9	19.6925	-6.54297	0.0000	8.0000	1	9
10	19.7425	-6.54297	0.0000	15.0000	1	10
11	19.7925	-6.54297	0.0000	21.0000	1	11
12	19.8425	-6.54297	0.0000	0.0000	1	12
13	19.8925	-6.54297	9.0000	5.0000	1	13
14	19.9425	-6.54297	18.0000	16.0000	1	14
15	19.9925	-6.54297	17.0000	4.0000	1	15
16	20.0425	-6.54297	16.0000	8.0000	1	16
17	20.0925	-6.54297	0.0000	0.0000	1	17
18	20.1425	-6.54297	5.0000	11.0000	1	18
19	20.1925	-6.54297	7.0000	8.0000	1	19
20	20.2425	-6.54297	19.0000	12.0000	1	20
21	20.2925	-6.54297	24.0000	0.0000	1	21
22	20.3425	-6.54297	0.0000	11.0000	1	22
23	20.3925	-6.54297	0.0000	0.0000	1	23
24	20.4425	-6.54297	0.0000	0.0000	1	24
25	20.4925	-6.54297	6.0000	0.0000	1	25
26	20.5425	-6.54297	3.0000	0.0000	1	26
27	20.5925	-6.54297	0.0000	0.0000	1	27
28	20.6425	-6.54297	0.0000	0.0000	1	28
29	20.6925	-6.54297	0.0000	0.0000	1	29
30	20.7425	-6.54297	5.0000	0.0000	1	30
31	20.7925	-6.54297	9.0000	6.0000	1	31
32	20.8425	-6.54297	8.0000	3.0000	1	32
33	20.8925	-6.54297	6.0000	0.0000	1	33
34	20.9425	-6.54297	3.0000	0.0000	1	34
35	20.9925	-6.54297	0.0000	0.0000	1	35
36	21.0425	-6.54297	0.0000	0.0000	1	36
37	21.0925	-6.54297	0.0000	0.0000	1	37
38	21.1425	-6.54297	0.0000	0.0000	1	38
39	21.1925	-6.54297	0.0000	0.0000	1	39
40	21.2425	-6.54297	0.0000	0.0000	1	40
41	21.2925	-6.54297	0.0000	0.0000	1	41
42	21.3425	-6.54297	0.0000	0.0000	1	42
43	21.3925	-6.54297	0.0000	0.0000	1	43
44	21.4425	-6.54297	0.0000	0.0000	1	44
45	21.4925	-6.54297	8.0000	0.0000	1	45
46	21.5425	-6.54297	4.0000	0.0000	1	46
47	21.5925	-6.54297	0.0000	0.0000	1	47
48	21.6425	-6.54297	5.0000	0.0000	1	48
49	21.6925	-6.54297	2.0000	0.0000	1	49
50	21.7425	-6.54297	0.0000	0.0000	1	50
51	21.7925	-6.54297	0.0000	0.0000	1	51
52	21.8425	-6.54297	0.0000	0.0000	1	52
53	21.8925	-6.54297	0.0000	0.0000	1	53
54	21.9425	-6.54297	0.0000	0.0000	1	54
55	21.9925	-6.54297	9.0000	17.0000	1	55
56	22.0425	-6.54297	7.0000	19.0000	1	56
57	22.0925	-6.54297	10.0000	0.0000	1	57
58	22.1425	-6.54297	0.0000	0.0000	1	58
59	22.1925	-6.54297	0.0000	9.0000	1	59
60	22.2425	-6.54297	0.0000	0.0000	1	60
61	22.2925	-6.54297	0.0000	0.0000	1	61
62	22.3425	-6.54297	9.0000	0.0000	1	62
63	22.3925	-6.54297	9.0000	0.0000	1	63
64	22.4425	-6.54297	8.0000	0.0000	1	64
65	22.4925	-6.54297	12.0000	8.0000	1	65
66	22.5425	-6.54297	0.0000	6.0000	1	66
67	22.5925	-6.54297	0.0000	3.0000	1	67
68	22.6425	-6.54297	0.0000	0.0000	1	68
69	22.6925	-6.54297	0.0000	0.0000	1	69
70	22.7425	-6.54297	0.0000	0.0000	1	70
71	22.7925	-6.54297	0.0000	0.0000	1	71
72	22.8425	-6.54297	0.0000	0.0000	1	72
73	22.8925	-6.54297	0.0000	0.0000	1	73
74	22.9425	-6.54297	0.0000	0.0000	1	74
75	22.9925	-6.54297	0.0000	0.0000	1	75
76	23.0425	-6.54297	0.0000	0.0000	1	76
77	23.0925	-6.54297	0.0000	0.0000	1	77
78	23.1425	-6.54297	0.0000	0.0000	1	78
79	23.1925	-6.54297	0.0000	0.0000	1	79
80	23.2425	-6.54297	0.0000	0.0000	1	80
81	23.2925	-6.54297	0.0000	0.0000	1	81
82	23.3425	-6.54297	0.0000	3.0000	1	82
83	23.3925	-6.54297	0.0000	2.0000	1	83
84	23.4425	-6.54297	0.0000	0.0000	1	84
85	23.4925	-6.54297	0.0000	0.0000	1	85
86	23.5425	-6.54297	0.0000	7.0000	1	86
87	23.5925	-6.54297	0.0000	4.0000	1	87
88	23.6425	-6.54297	10.0000	0.0000	1	88
89	23.6925	-6.54297	11.0000	0.0000	1	89
90	23.7425	-6.54297	0.0000	0.0000	1	90
91	23.7925	-6.54297	0.0000	0.0000	1	91
