"","tissue_roi1","tissue_roi2","tissue_roi3","tissue_roi4","roi_label"
"1",FALSE,FALSE,FALSE,FALSE,NA
"2",FALSE,FALSE,FALSE,FALSE,NA
"3",FALSE,FALSE,FALSE,FALSE,NA
"4",FALSE,FALSE,FALSE,FALSE,NA
"5",FALSE,FALSE,FALSE,FALSE,NA
"6",FALSE,FALSE,FALSE,FALSE,NA
"7",FALSE,FALSE,FALSE,FALSE,NA
"8",FALSE,FALSE,FALSE,FALSE,NA
"9",FALSE,FALSE,FALSE,FALSE,NA
"10",FALSE,FALSE,FALSE,FALSE,NA
"11",FALSE,FALSE,FALSE,FALSE,NA
"12",FALSE,FALSE,FALSE,FALSE,NA
"13",FALSE,FALSE,FALSE,FALSE,NA
"14",FALSE,FALSE,FALSE,FALSE,NA
"15",FALSE,FALSE,FALSE,FALSE,NA
"16",FALSE,FALSE,FALSE,FALSE,NA
"17",FALSE,FALSE,FALSE,FALSE,NA
"18",FALSE,FALSE,FALSE,FALSE,NA
"19",FALSE,FALSE,FALSE,FALSE,NA
"20",FALSE,FALSE,FALSE,FALSE,NA
"21",FALSE,FALSE,FALSE,FALSE,NA
"22",FALSE,FALSE,FALSE,FALSE,NA
"23",FALSE,FALSE,FALSE,FALSE,NA
"24",FALSE,FALSE,FALSE,FALSE,NA
"25",FALSE,FALSE,FALSE,FALSE,NA
"26",FALSE,FALSE,FALSE,FALSE,NA
"27",FALSE,FALSE,FALSE,FALSE,NA
"28",FALSE,FALSE,FALSE,FALSE,NA
"29",FALSE,FALSE,FALSE,FALSE,NA
"30",FALSE,FALSE,FALSE,FALSE,NA
"31",FALSE,FALSE,FALSE,FALSE,NA
"32",FALSE,FALSE,FALSE,FALSE,NA
"33",FALSE,FALSE,FALSE,FALSE,NA
"34",FALSE,FALSE,FALSE,FALSE,NA
"35",FALSE,FALSE,FALSE,FALSE,NA
"36",FALSE,FALSE,FALSE,FALSE,NA
"37",FALSE,FALSE,FALSE,FALSE,NA
"38",FALSE,FALSE,FALSE,FALSE,NA
"39",FALSE,FALSE,FALSE,FALSE,NA
"40",FALSE,FALSE,FALSE,FALSE,NA
"41",FALSE,FALSE,FALSE,FALSE,NA
"42",FALSE,FALSE,FALSE,FALSE,NA
"43",FALSE,FALSE,FALSE,FALSE,NA
"44",FALSE,FALSE,FALSE,FALSE,NA
"45",FALSE,FALSE,FALSE,FALSE,NA
"46",FALSE,FALSE,FALSE,FALSE,NA
"47",FALSE,FALSE,FALSE,FALSE,NA
"48",FALSE,FALSE,FALSE,FALSE,NA
"49",FALSE,FALSE,FALSE,FALSE,NA
"50",FALSE,FALSE,FALSE,FALSE,NA
"51",FALSE,FALSE,FALSE,FALSE,NA
"52",FALSE,FALSE,FALSE,FALSE,NA
"53",FALSE,FALSE,FALSE,FALSE,NA
"54",FALSE,FALSE,FALSE,FALSE,NA
"55",FALSE,FALSE,FALSE,FALSE,NA
"56",FALSE,FALSE,FALSE,FALSE,NA
"57",FALSE,FALSE,FALSE,FALSE,NA
"58",FALSE,FALSE,FALSE,FALSE,NA
"59",FALSE,FALSE,FALSE,FALSE,NA
"60",FALSE,FALSE,FALSE,FALSE,NA
"61",FALSE,FALSE,FALSE,FALSE,NA
"62",FALSE,FALSE,FALSE,FALSE,NA
"63",FALSE,FALSE,FALSE,FALSE,NA
"64",FALSE,FALSE,FALSE,FALSE,NA
"65",FALSE,FALSE,FALSE,FALSE,NA
"66",FALSE,FALSE,FALSE,FALSE,NA
"67",FALSE,FALSE,FALSE,FALSE,NA
"68",FALSE,FALSE,FALSE,FALSE,NA
"69",FALSE,FALSE,FALSE,FALSE,NA
"70",FALSE,FALSE,FALSE,FALSE,NA
"71",FALSE,FALSE,FALSE,FALSE,NA
"72",FALSE,FALSE,FALSE,FALSE,NA
"73",FALSE,FALSE,FALSE,FALSE,NA
"74",FALSE,FALSE,FALSE,FALSE,NA
"75",FALSE,FALSE,FALSE,FALSE,NA
"76",FALSE,FALSE,FALSE,FALSE,NA
"77",FALSE,FALSE,FALSE,FALSE,NA
"78",FALSE,FALSE,FALSE,FALSE,NA
"79",FALSE,FALSE,FALSE,FALSE,NA
"80",FALSE,FALSE,FALSE,FALSE,NA
"81",FALSE,FALSE,FALSE,FALSE,NA
"82",FALSE,FALSE,FALSE,FALSE,NA
"83",FALSE,FALSE,FALSE,FALSE,NA
"84",FALSE,FALSE,FALSE,FALSE,NA
"85",FALSE,FALSE,FALSE,FALSE,NA
"86",FALSE,FALSE,FALSE,FALSE,NA
"87",FALSE,FALSE,FALSE,FALSE,NA
"88",FALSE,FALSE,FALSE,FALSE,NA
"89",FALSE,FALSE,FALSE,FALSE,NA
"90",FALSE,FALSE,FALSE,FALSE,NA
"91",FALSE,FALSE,FALSE,FALSE,NA
"92",FALSE,FALSE,FALSE,FALSE,NA
"93",FALSE,FALSE,FALSE,FALSE,NA
"94",FALSE,FALSE,FALSE,FALSE,NA
"95",FALSE,FALSE,FALSE,FALSE,NA
"96",FALSE,FALSE,FALSE,FALSE,NA
"97",FALSE,FALSE,FALSE,FALSE,NA
"98",FALSE,FALSE,FALSE,FALSE,NA
"99",FALSE,FALSE,FALSE,FALSE,NA
"100",FALSE,FALSE,FALSE,FALSE,NA
"101",FALSE,FALSE,FALSE,FALSE,NA
"102",FALSE,FALSE,FALSE,FALSE,NA
"103",FALSE,FALSE,FALSE,FALSE,NA
"104",FALSE,FALSE,FALSE,FALSE,NA
"105",FALSE,FALSE,FALSE,FALSE,NA
"106",FALSE,FALSE,FALSE,FALSE,NA
"107",FALSE,FALSE,FALSE,FALSE,NA
"108",FALSE,FALSE,FALSE,FALSE,NA
"109",FALSE,FALSE,FALSE,FALSE,NA
"110",FALSE,FALSE,FALSE,FALSE,NA
"111",FALSE,FALSE,FALSE,FALSE,NA
"112",FALSE,FALSE,FALSE,FALSE,NA
"113",FALSE,FALSE,FALSE,FALSE,NA
"114",FALSE,FALSE,FALSE,FALSE,NA
"115",FALSE,FALSE,FALSE,FALSE,NA
"116",FALSE,FALSE,FALSE,FALSE,NA
"117",FALSE,FALSE,FALSE,FALSE,NA
"118",FALSE,FALSE,FALSE,FALSE,NA
"119",FALSE,FALSE,FALSE,FALSE,NA
"120",FALSE,FALSE,FALSE,FALSE,NA
"121",FALSE,FALSE,FALSE,FALSE,NA
"122",FALSE,FALSE,FALSE,FALSE,NA
"123",FALSE,FALSE,FALSE,FALSE,NA
"124",FALSE,FALSE,FALSE,FALSE,NA
"125",FALSE,FALSE,FALSE,FALSE,NA
"126",FALSE,FALSE,FALSE,FALSE,NA
"127",FALSE,FALSE,FALSE,FALSE,NA
"128",FALSE,FALSE,FALSE,FALSE,NA
"129",FALSE,FALSE,FALSE,FALSE,NA
"130",FALSE,FALSE,FALSE,FALSE,NA
"131",FALSE,FALSE,FALSE,FALSE,NA
"132",FALSE,FALSE,FALSE,FALSE,NA
"133",FALSE,FALSE,FALSE,FALSE,NA
"134",FALSE,FALSE,FALSE,FALSE,NA
"135",FALSE,FALSE,FALSE,FALSE,NA
"136",FALSE,FALSE,FALSE,FALSE,NA
"137",FALSE,FALSE,FALSE,FALSE,NA
"138",FALSE,FALSE,FALSE,FALSE,NA
"139",FALSE,FALSE,FALSE,FALSE,NA
"140",FALSE,FALSE,FALSE,FALSE,NA
"141",FALSE,FALSE,FALSE,FALSE,NA
"142",FALSE,FALSE,FALSE,FALSE,NA
"143",FALSE,FALSE,FALSE,FALSE,NA
"144",FALSE,FALSE,FALSE,FALSE,NA
"145",FALSE,FALSE,FALSE,FALSE,NA
"146",FALSE,FALSE,FALSE,FALSE,NA
"147",FALSE,FALSE,FALSE,FALSE,NA
"148",FALSE,FALSE,FALSE,FALSE,NA
"149",FALSE,FALSE,FALSE,FALSE,NA
"150",FALSE,FALSE,FALSE,FALSE,NA
"151",FALSE,FALSE,FALSE,FALSE,NA
"152",FALSE,FALSE,FALSE,FALSE,NA
"153",FALSE,FALSE,FALSE,FALSE,NA
"154",FALSE,FALSE,FALSE,FALSE,NA
"155",FALSE,FALSE,FALSE,FALSE,NA
"156",FALSE,FALSE,FALSE,FALSE,NA
"157",FALSE,FALSE,FALSE,FALSE,NA
"158",FALSE,FALSE,FALSE,FALSE,NA
"159",FALSE,FALSE,FALSE,FALSE,NA
"160",FALSE,FALSE,FALSE,FALSE,NA
"161",FALSE,FALSE,FALSE,FALSE,NA
"162",FALSE,FALSE,FALSE,FALSE,NA
"163",FALSE,FALSE,FALSE,FALSE,NA
"164",FALSE,FALSE,FALSE,FALSE,NA
"165",FALSE,FALSE,FALSE,FALSE,NA
"166",FALSE,FALSE,FALSE,FALSE,NA
"167",FALSE,FALSE,FALSE,FALSE,NA
"168",FALSE,FALSE,FALSE,FALSE,NA
"169",FALSE,FALSE,FALSE,FALSE,NA
"170",FALSE,FALSE,FALSE,FALSE,NA
"171",FALSE,FALSE,FALSE,FALSE,NA
"172",FALSE,FALSE,FALSE,FALSE,NA
"173",FALSE,FALSE,FALSE,FALSE,NA
"174",FALSE,FALSE,FALSE,FALSE,NA
"175",FALSE,FALSE,FALSE,FALSE,NA
"176",FALSE,FALSE,FALSE,FALSE,NA
"177",FALSE,FALSE,FALSE,FALSE,NA
"178",FALSE,FALSE,FALSE,FALSE,NA
"179",FALSE,FALSE,FALSE,FALSE,NA
"180",FALSE,FALSE,FALSE,FALSE,NA
"181",FALSE,FALSE,FALSE,FALSE,NA
"182",FALSE,FALSE,FALSE,FALSE,NA
"183",FALSE,FALSE,FALSE,FALSE,NA
"184",FALSE,FALSE,FALSE,FALSE,NA
"185",FALSE,FALSE,FALSE,FALSE,NA
"186",FALSE,FALSE,FALSE,FALSE,NA
"187",FALSE,FALSE,FALSE,FALSE,NA
"188",FALSE,FALSE,FALSE,FALSE,NA
"189",FALSE,FALSE,FALSE,FALSE,NA
"190",FALSE,FALSE,FALSE,FALSE,NA
"191",FALSE,FALSE,FALSE,FALSE,NA
"192",FALSE,FALSE,FALSE,FALSE,NA
"193",FALSE,FALSE,FALSE,FALSE,NA
"194",FALSE,FALSE,FALSE,FALSE,NA
"195",FALSE,FALSE,FALSE,FALSE,NA
"196",FALSE,FALSE,FALSE,FALSE,NA
"197",FALSE,FALSE,FALSE,FALSE,NA
"198",FALSE,FALSE,FALSE,FALSE,NA
"199",FALSE,FALSE,FALSE,FALSE,NA
"200",FALSE,FALSE,FALSE,FALSE,NA
"201",FALSE,FALSE,FALSE,FALSE,NA
"202",FALSE,FALSE,FALSE,FALSE,NA
"203",FALSE,FALSE,FALSE,FALSE,NA
"204",FALSE,FALSE,FALSE,FALSE,NA
"205",FALSE,FALSE,FALSE,FALSE,NA
"206",FALSE,FALSE,FALSE,FALSE,NA
"207",FALSE,FALSE,FALSE,FALSE,NA
"208",FALSE,FALSE,FALSE,FALSE,NA
"209",FALSE,FALSE,FALSE,FALSE,NA
"210",FALSE,FALSE,FALSE,FALSE,NA
"211",FALSE,FALSE,FALSE,FALSE,NA
"212",FALSE,FALSE,FALSE,FALSE,NA
"213",FALSE,FALSE,FALSE,FALSE,NA
"214",FALSE,FALSE,FALSE,FALSE,NA
"215",FALSE,FALSE,FALSE,FALSE,NA
"216",FALSE,FALSE,FALSE,FALSE,NA
"217",FALSE,FALSE,FALSE,FALSE,NA
"218",FALSE,FALSE,FALSE,FALSE,NA
"219",FALSE,FALSE,FALSE,FALSE,NA
"220",FALSE,FALSE,FALSE,FALSE,NA
"221",FALSE,FALSE,FALSE,FALSE,NA
"222",FALSE,FALSE,FALSE,FALSE,NA
"223",FALSE,FALSE,FALSE,FALSE,NA
"224",FALSE,FALSE,FALSE,FALSE,NA
"225",FALSE,FALSE,FALSE,FALSE,NA
"226",FALSE,FALSE,FALSE,FALSE,NA
"227",FALSE,FALSE,FALSE,FALSE,NA
"228",FALSE,FALSE,FALSE,FALSE,NA
"229",FALSE,FALSE,FALSE,FALSE,NA
"230",FALSE,FALSE,FALSE,FALSE,NA
"231",FALSE,FALSE,FALSE,FALSE,NA
"232",FALSE,FALSE,FALSE,FALSE,NA
"233",FALSE,FALSE,FALSE,FALSE,NA
"234",FALSE,FALSE,FALSE,FALSE,NA
"235",FALSE,FALSE,FALSE,FALSE,NA
"236",FALSE,FALSE,FALSE,FALSE,NA
"237",FALSE,FALSE,FALSE,FALSE,NA
"238",FALSE,FALSE,FALSE,FALSE,NA
"239",FALSE,FALSE,FALSE,FALSE,NA
"240",FALSE,FALSE,FALSE,FALSE,NA
"241",FALSE,FALSE,FALSE,FALSE,NA
"242",FALSE,FALSE,FALSE,FALSE,NA
"243",FALSE,FALSE,FALSE,FALSE,NA
"244",FALSE,FALSE,FALSE,FALSE,NA
"245",FALSE,FALSE,FALSE,FALSE,NA
"246",FALSE,FALSE,FALSE,FALSE,NA
"247",FALSE,FALSE,FALSE,FALSE,NA
"248",FALSE,FALSE,FALSE,FALSE,NA
"249",FALSE,FALSE,FALSE,FALSE,NA
"250",FALSE,FALSE,FALSE,FALSE,NA
"251",FALSE,FALSE,FALSE,FALSE,NA
"252",FALSE,FALSE,FALSE,FALSE,NA
"253",FALSE,FALSE,FALSE,FALSE,NA
"254",FALSE,FALSE,FALSE,FALSE,NA
"255",FALSE,FALSE,FALSE,FALSE,NA
"256",FALSE,FALSE,FALSE,FALSE,NA
"257",FALSE,FALSE,FALSE,FALSE,NA
"258",FALSE,FALSE,FALSE,FALSE,NA
"259",FALSE,FALSE,FALSE,FALSE,NA
"260",FALSE,FALSE,FALSE,FALSE,NA
"261",FALSE,FALSE,FALSE,FALSE,NA
"262",FALSE,FALSE,FALSE,FALSE,NA
"263",FALSE,FALSE,FALSE,FALSE,NA
"264",FALSE,FALSE,FALSE,FALSE,NA
"265",FALSE,FALSE,FALSE,FALSE,NA
"266",FALSE,FALSE,FALSE,FALSE,NA
"267",FALSE,FALSE,FALSE,FALSE,NA
"268",FALSE,FALSE,FALSE,FALSE,NA
"269",FALSE,FALSE,FALSE,FALSE,NA
"270",FALSE,FALSE,FALSE,FALSE,NA
"271",FALSE,FALSE,FALSE,FALSE,NA
"272",FALSE,FALSE,FALSE,FALSE,NA
"273",FALSE,FALSE,FALSE,FALSE,NA
"274",FALSE,FALSE,FALSE,FALSE,NA
"275",FALSE,FALSE,FALSE,FALSE,NA
"276",FALSE,FALSE,FALSE,FALSE,NA
"277",FALSE,FALSE,FALSE,FALSE,NA
"278",FALSE,FALSE,FALSE,FALSE,NA
"279",FALSE,FALSE,FALSE,FALSE,NA
"280",FALSE,FALSE,FALSE,FALSE,NA
"281",FALSE,FALSE,FALSE,FALSE,NA
"282",FALSE,FALSE,FALSE,FALSE,NA
"283",FALSE,FALSE,FALSE,FALSE,NA
"284",FALSE,FALSE,FALSE,FALSE,NA
"285",FALSE,FALSE,FALSE,FALSE,NA
"286",FALSE,FALSE,FALSE,FALSE,NA
"287",FALSE,FALSE,FALSE,FALSE,NA
"288",FALSE,FALSE,FALSE,FALSE,NA
"289",FALSE,FALSE,FALSE,FALSE,NA
